port,corruption,compliant,psma,mcs,traffic,hotspot,fv_traffic,accessibility,entry,comms,supplies,foc_visits,china,dc_china,mcs2,foc_visits3,foc_visits2,traffic2,trafficx,fv_trafficx,fv_traffic2,fv_traffic3,hotspot2
ISTANBUL,36,1,1,1,436,3472,2,0,1,5,5,0,1,1,0,0,0,4,1,1,1,1,3
JUNEAU,69,1,1,1,13,631,1,0,1,5,5,0,0,0,0,0,0,2,1,1,1,1,1
KARATSU,73,5,1,1,1,1169,0,1,1,6,2,0,0,0,0,0,0,1,1,0,1,1,2
KAVKAZ (could not find) (Russian port next to Crimea),28,5,1,4,15,3993,0,0,1,4,2,0,0,0,1,0,0,2,1,0,1,1,3
KENAI,69,1,1,1,1,60,0,1,0,3,3,0,0,0,0,0,0,1,1,0,1,1,1
KETCHIKAN,69,1,1,1,27,829,9,0,0,5,3,0,0,0,0,0,0,2,1,1,1,1,2
KIRKENES,84,1,1,1,21,4849,11,0,1,3,2,0,0,0,0,0,0,2,1,1,1,2,3
KODIAK,69,1,1,1,52,0,33,0,1,5,5,0,0,0,0,0,0,3,1,1,2,3,1
KOOH MOBARAK  (cannot find; JASK is closest coordinates),25,3,0,1,0,377,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
KORSAKOV,28,5,1,4,22,405,9,2,1,6,2,0,0,0,1,0,0,2,1,1,1,1,1
KUSHIRO,73,5,1,1,21,202,15,1,1,6,5,0,0,0,0,0,0,2,1,1,2,2,1
LAS PALMAS,60,5,1,1,145,1080,7,1,1,3,2,0,0,0,0,0,0,4,1,1,1,1,2
LUANDA,33,1,1,1,49,2206,9,0,1,6,3,0,0,0,0,0,0,3,1,1,1,1,3
MAGADAN (could not find),28,5,1,4,4,1020,0,1,0,4,3,0,0,0,1,0,0,1,1,0,1,1,2
MAIZURU KO,73,5,1,1,1,850,0,0,1,6,5,0,0,0,0,0,0,1,1,0,1,1,2
MATSUURA (Imari is closest port),73,5,1,1,0,1196,0,0,0,4,5,0,0,0,0,0,0,1,0,0,1,1,2
NAGASAKI,73,5,1,1,32,1278,1,0,1,4,4,0,0,0,0,0,0,3,1,1,1,1,2
NAKHODKA,28,5,1,4,55,762,12,0,1,3,5,0,0,0,1,0,0,3,1,1,1,2,2
NAKNEK,69,1,1,1,1,783,0,1,0,4,2,0,0,0,0,0,0,1,1,0,1,1,2
NEVELSK,28,5,1,4,18,869,0,2,1,3,4,0,0,0,1,0,0,2,1,0,1,1,2
NOUAKCHOTT (could not find),30,1,1,1,10,433,0,1,0,2,1,0,1,1,0,0,0,2,1,0,1,1,1
ONAHAMA,73,5,1,1,10,355,0,2,1,3,2,0,0,0,0,0,0,2,1,0,1,1,1
PALMA DE MALLORCA,60,5,1,1,259,2404,3,0,1,6,3,0,0,0,0,0,0,4,1,1,1,1,3
PETERSBURG,69,1,1,1,23,741,15,0,1,5,5,0,0,0,0,0,0,2,1,1,2,2,1
PETROPAVLOVSK,28,5,1,4,50,373,22,2,1,2,4,0,0,0,1,0,0,3,1,1,2,2,1
PORT HARDY,74,1,1,1,25,1068,12,0,0,3,4,0,0,0,0,0,0,2,1,1,1,2,2
POTI,56,4,0,1,36,4746,14,0,1,4,2,0,0,0,0,0,0,3,1,1,2,2,3
PRINCE RUPERT,74,1,1,1,59,839,17,2,1,6,5,0,0,0,0,0,0,3,1,1,2,2,2
PUERTO CHACABUCO,67,4,1,2,5,1632,0,2,0,0,3,0,0,0,1,0,0,1,1,0,1,1,2
PUERTO QUEMCHI,67,4,1,2,1,1611,0,1,0,2,1,0,0,0,1,0,0,1,1,0,1,1,2
SAKAIMINATO,73,5,1,1,13,915,7,0,1,4,2,0,0,0,0,0,0,2,1,1,1,1,2
SAO TOME,45,1,1,1,2,1959,0,0,1,5,0,0,0,1,0,0,0,1,1,0,1,1,3
SEATTLE,69,1,1,1,403,1403,51,0,1,6,5,0,1,1,0,0,0,4,1,1,3,3,2
SEVASTOPOL (could not find),33,4,0,1,21,3830,6,1,1,2,3,0,0,0,0,0,0,2,1,1,1,1,3
SEWARD,69,1,1,1,25,113,6,0,0,5,5,0,0,0,0,0,0,2,1,1,1,1,1
SHANGHAI,45,3,0,5,2636,1676,205,2,1,6,5,0,1,1,1,0,0,4,1,1,3,4,2
SITKA,69,1,1,1,49,597,46,1,1,5,5,0,0,0,0,0,0,3,1,1,3,3,1
SKAGEN(Skaw),90,3,1,1,58,3635,43,0,0,3,3,0,0,0,0,0,0,3,1,1,3,3,3
STEVESTON,74,1,1,1,34,1299,24,0,0,0,1,0,0,0,0,0,0,3,1,1,2,2,2
"SUPSA  (cannot find, coordinate)",56,4,0,1,0,4283,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,3
TANGER MED,38,1,1,1,17,1836,0,2,1,5,5,0,1,0,0,0,0,2,1,0,1,1,3
VALDEZ,69,1,1,1,24,256,0,0,1,5,1,0,0,0,0,0,0,2,1,0,1,1,1
VLADIVOSTOK,28,5,1,4,143,834,36,1,1,6,5,0,0,0,1,0,0,4,1,1,2,3,2
WEWAK HARBOR,30,1,0,1,0,1029,0,2,0,3,3,0,0,0,0,0,0,1,0,0,1,1,2
WHITTIER AK (double check coordinates; not the same as here),69,1,1,1,1,207,0,0,0,5,3,0,0,0,0,0,0,1,1,0,1,1,1
WRANGELL,69,1,1,1,13,741,6,0,1,5,3,0,0,0,0,0,0,2,1,1,1,1,1
ZARUBINO (could not find),28,5,1,4,6,867,1,0,1,5,1,0,0,0,1,0,0,1,1,1,1,1,2
ZHUHAI (cannot find this),45,3,0,5,167,2495,33,2,0,1,2,0,1,1,1,0,0,4,1,1,2,3,3
ZONGULDAK,36,1,1,1,7,3661,0,0,0,2,2,0,0,0,0,0,0,1,1,0,1,1,3
